code_geo,annee,taux_faible_diplome
59509,2016,53.66
59509,2022,51.27
59511,2016,59.28
59511,2022,60.4
59512,2016,64.97
59512,2022,62.99
59513,2016,50.9
59513,2022,51.88
59514,2016,53.31
59514,2022,52.77
59515,2016,48.15
59515,2022,47.08
59516,2016,52.11
59516,2022,53.26
59517,2016,51.65
59517,2022,53.15
59518,2016,53.89
59518,2022,56.6
59519,2016,54.54
59519,2022,54.21
59520,2016,50.15
59520,2022,51.04
59521,2016,57.03
59521,2022,55.92
59522,2016,67.42
59522,2022,68.23
59523,2016,71.0
59523,2022,74.33
59524,2016,59.29
59524,2022,59.92
59525,2016,56.12
59525,2022,53.05
59526,2016,58.0
59526,2022,57.96
59527,2016,65.17
59527,2022,66.45
59528,2016,51.6
59528,2022,51.89
59529,2016,53.31
59529,2022,53.7
59530,2016,49.02
59530,2022,44.17
59531,2016,47.15
59531,2022,49.44
59532,2016,51.47
59532,2022,53.44
59533,2016,54.84
59533,2022,53.51
59534,2016,51.61
59534,2022,54.87
59535,2016,59.34
59535,2022,60.38
59536,2016,57.17
59536,2022,58.84
59537,2016,55.56
59537,2022,55.59
59538,2016,54.37
59538,2022,48.17
59539,2016,46.68
59539,2022,46.43
59541,2016,50.13
59541,2022,48.26
59542,2016,46.48
59542,2022,47.06
59543,2016,42.91
59543,2022,42.47
59544,2016,56.86
59544,2022,59.31
59545,2016,51.36
59545,2022,48.34
59546,2016,53.35
59546,2022,52.64
59547,2016,58.23
59547,2022,53.7
59548,2016,54.13
59548,2022,51.49
59549,2016,52.56
59549,2022,46.67
59550,2016,53.01
59550,2022,54.46
59551,2016,66.47
59551,2022,66.27
59552,2016,57.52
59552,2022,49.66
59553,2016,61.11
59553,2022,61.02
59554,2016,65.43
59554,2022,68.85
59555,2016,50.05
59555,2022,50.35
59556,2016,53.54
59556,2022,50.98
59557,2016,55.74
59557,2022,56.57
59558,2016,54.22
59558,2022,50.6
59559,2016,66.73
59559,2022,69.59
59560,2016,61.94
59560,2022,62.31
59562,2016,46.91
59562,2022,49.16
59563,2016,50.56
59563,2022,49.7
59564,2016,56.6
59564,2022,51.3
59565,2016,57.14
59565,2022,57.62
59566,2016,56.94
59566,2022,55.85
59567,2016,58.24
59567,2022,54.94
59568,2016,56.99
59568,2022,51.82
59569,2016,54.25
59569,2022,50.89
59570,2016,57.2
59570,2022,60.29
59571,2016,51.12
59571,2022,51.49
59572,2016,57.08
59572,2022,53.2
59573,2016,46.53
59573,2022,50.49
59574,2016,52.38
59574,2022,52.22
59575,2016,60.81
59575,2022,60.03
59576,2016,52.14
59576,2022,51.06
59577,2016,55.0
59577,2022,54.49
59578,2016,55.39
59578,2022,54.98
59579,2016,51.5
59579,2022,53.65
59580,2016,59.19
59580,2022,57.14
59581,2016,55.68
59581,2022,57.88
59582,2016,53.88
59582,2022,54.06
59583,2016,52.46
59583,2022,53.62
59584,2016,56.22
59584,2022,55.2
59585,2016,63.08
59585,2022,62.8
59586,2016,61.38
59586,2022,63.0
59587,2016,59.28
59587,2022,62.68
59588,2016,56.91
59588,2022,55.93
59589,2016,49.68
59589,2022,50.76
59590,2016,48.75
59590,2022,46.82
59591,2016,46.42
59591,2022,52.44
59592,2016,59.57
59592,2022,59.59
59593,2016,51.11
59593,2022,52.05
59594,2016,56.33
59594,2022,54.09
59595,2016,58.53
59595,2022,58.9
59596,2016,62.99
59596,2022,62.69
59597,2016,58.01
59597,2022,63.37
59598,2016,57.39
59598,2022,57.4
59599,2016,58.46
59599,2022,57.84
59600,2016,62.07
59600,2022,64.64
59601,2016,56.62
59601,2022,56.93
59602,2016,62.26
59602,2022,66.11
59603,2016,49.73
59603,2022,51.1
59604,2016,51.93
59604,2022,48.1
59605,2016,55.44
59605,2022,57.35
59606,2016,61.63
59606,2022,61.66
59607,2016,56.29
59607,2022,55.75
59608,2016,59.43
59608,2022,54.67
59609,2016,62.69
59609,2022,67.36
59610,2016,55.51
59610,2022,56.61
59611,2016,67.56
59611,2022,69.76
59612,2016,56.87
