code_geo,libelle_commune,revenu_median,annee
59137,Catillon-sur-Sambre,19730,2021
59138,Cattenières,22060,2021
59139,Caudry,17850,2021
59140,Caullery,19990,2021
59141,Cauroir,22210,2021
59142,Cerfontaine,24510,2021
59143,La Chapelle-d'Armentières,23360,2021
59144,Château-l'Abbaye,25610,2021
59145,Chemy,29310,2021
59146,Chéreng,31250,2021
59147,Choisies,,2021
59148,Clairfayts,22640,2021
59149,Clary,21420,2021
59150,Cobrieux,30350,2021
59151,Colleret,22560,2021
59152,Comines,22310,2021
59153,Coé-sur-l'Escaut,16620,2021
59155,Coudekerque-Branche,20680,2021
59156,Courchelettes,21750,2021
59157,Cousolre,20440,2021
59158,Coutiches,27150,2021
59159,Craywick,23240,2021
59160,Crespin,18560,2021
59161,Crèvecœur-sur-l'Escaut,23920,2021
59162,Crochte,26550,2021
59163,Croix,23360,2021
59164,Croix-Caluyau,23580,2021
59165,Cuincy,23000,2021
59166,Curgies,26200,2021
59167,Cuvillers,24790,2021
59168,Cysoing,27570,2021
59169,Damousies,19920,2021
59170,Dechy,18010,2021
59171,Dehéries,,2021
59172,Denain,14890,2021
59173,Deûlémont,26320,2021
59174,Dimechaux,24080,2021
59175,Dimont,23760,2021
59176,Doignies,23040,2021
59177,Dompierre-sur-Helpe,21650,2021
59178,Douai,18440,2021
59179,Douchy-les-Mines,17880,2021
59180,Le Doulieu,26640,2021
59181,Dourlers,24490,2021
59182,Drincham,21910,2021
59183,Dunkerque,20240,2021
59184,Ebblinghem,23510,2021
59185,Écaillon,19590,2021
59186,Eccles,,2021
