code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59111,2022,0.0,411.0,8,0.0
59112,2022,451.0,11584.0,11,38.93
59113,2022,0.0,1345.0,3,0.0
59114,2022,0.0,1693.0,4,0.0
59115,2022,12.0,711.0,5,16.88
59116,2022,0.0,400.0,6,0.0
59117,2022,0.0,1084.0,2,0.0
59118,2022,36.0,2437.0,4,14.77
59119,2022,0.0,580.0,9,0.0
59120,2022,5.0,1979.0,4,2.53
59121,2022,0.0,662.0,9,0.0
59122,2022,2554.0,31568.0,14,80.9
59123,2022,15.0,1725.0,4,8.7
59124,2022,24.0,2506.0,4,9.58
59125,2022,0.0,408.0,8,0.0
59126,2022,29.0,1755.0,6,16.52
59127,2022,0.0,136.0,10,0.0
59128,2022,135.0,2601.0,7,51.9
59129,2022,17.0,2259.0,5,7.53
59130,2022,0.0,1157.0,4,0.0
59131,2022,191.0,7865.0,10,24.28
59132,2022,0.0,987.0,3,0.0
59133,2022,5.0,1097.0,4,4.56
59134,2022,0.0,1234.0,7,0.0
59135,2022,40.0,2212.0,4,18.08
59136,2022,515.0,6846.0,13,75.23
59137,2022,0.0,783.0,5,0.0
59138,2022,0.0,687.0,4,0.0
59139,2022,1029.0,14032.0,13,73.33
59140,2022,0.0,464.0,4,0.0
59141,2022,0.0,575.0,5,0.0
59142,2022,0.0,667.0,5,0.0
59143,2022,297.0,8782.0,10,33.82
59144,2022,0.0,886.0,7,0.0
59145,2022,0.0,773.0,5,0.0
59146,2022,56.0,3040.0,6,18.42
59147,2022,0.0,44.0,15,0.0
59148,2022,0.0,361.0,8,0.0
59149,2022,10.0,1087.0,5,9.2
59150,2022,0.0,553.0,6,0.0
59151,2022,0.0,1551.0,4,0.0
59152,2022,386.0,12649.0,12,30.52
59153,2022,430.0,9297.0,11,46.25
59155,2022,634.0,20833.0,12,30.43
59156,2022,26.0,2868.0,6,9.07
59157,2022,33.0,2160.0,5,15.28
59158,2022,29.0,3341.0,4,8.68
59159,2022,7.0,770.0,4,9.09
59160,2022,112.0,4541.0,8,24.66
59161,2022,0.0,717.0,5,0.0
59162,2022,0.0,658.0,5,0.0
59163,2022,998.0,20956.0,12,47.62
59164,2022,0.0,237.0,8,0.0
59165,2022,200.0,6499.0,10,30.77
59166,2022,9.0,1351.0,4,6.66
59167,2022,0.0,187.0,10,0.0
59168,2022,127.0,4717.0,8,26.92
59169,2022,0.0,205.0,11,0.0
59170,2022,228.0,5343.0,8,42.67
59171,2022,0.0,42.0,13,0.0
59172,2022,1227.0,20622.0,12,59.5
59173,2022,6.0,1801.0,2,3.33
59174,2022,0.0,327.0,9,0.0
59175,2022,0.0,296.0,8,0.0
59176,2022,0.0,323.0,7,0.0
59177,2022,0.0,837.0,4,0.0
59178,2022,3321.0,39833.0,15,83.37
59179,2022,319.0,10112.0,10,31.55
59180,2022,6.0,1445.0,4,4.15
59181,2022,0.0,537.0,3,0.0
59182,2022,0.0,282.0,5,0.0
59183,2022,4637.0,87013.0,15,53.29
59184,2022,0.0,658.0,5,0.0
59185,2022,40.0,1883.0,4,21.24
59186,2022,0.0,92.0,14,0.0
59187,2022,0.0,265.0,5,0.0
59188,2022,0.0,143.0,10,0.0
59189,2022,0.0,1215.0,4,0.0
59190,2022,0.0,1002.0,6,0.0
59191,2022,5.0,618.0,6,8.09
59192,2022,0.0,813.0,3,0.0
59193,2022,64.0,3026.0,9,21.15
59194,2022,14.0,1290.0,5,10.85
59195,2022,269.0,616.0,6,436.69
59196,2022,62.0,1288.0,9,48.14
59197,2022,23.0,2417.0,5,9.52
59198,2022,0.0,229.0,3,0.0
59199,2022,0.0,674.0,5,0.0
59200,2022,0.0,469.0,8,0.0
59201,2022,0.0,624.0,6,0.0
59202,2022,123.0,5349.0,7,22.99
59203,2022,12.0,1576.0,3,7.61
59204,2022,0.0,478.0,9,0.0
59205,2022,316.0,9060.0,11,34.88
59206,2022,108.0,3180.0,8,33.96
59207,2022,104.0,4174.0,7,24.92
59208,2022,0.0,303.0,6,0.0
59209,2022,0.0,673.0,5,0.0
59210,2022,11.0,2143.0,6,5.13
59211,2022,0.0,902.0,6,0.0
59212,2022,237.0,6551.0,11,36.18
59213,2022,0.0,470.0,8,0.0
59214,2022,0.0,1121.0,4,0.0
59215,2022,0.0,945.0,4,0.0
59216,2022,0.0,360.0,7,0.0
59217,2022,0.0,334.0,9,0.0
59218,2022,0.0,1255.0,4,0.0
59219,2022,0.0,721.0,3,0.0
59220,2022,945.0,18310.0,12,51.61
59221,2022,18.0,2459.0,4,7.32
59222,2022,23.0,2255.0,5,10.2
59223,2022,0.0,504.0,8,0.0
59224,2022,11.0,1654.0,4,6.65
59225,2022,221.0,6727.0,9,32.85
59226,2022,0.0,1459.0,4,0.0
59227,2022,123.0,5533.0,10,22.23
59228,2022,24.0,1441.0,3,16.66
59229,2022,0.0,509.0,7,0.0
59230,2022,138.0,5167.0,10,26.71
59231,2022,5.0,1043.0,4,4.79
59232,2022,0.0,433.0,5,0.0
59233,2022,0.0,345.0,4,0.0
59234,2022,236.0,5533.0,10,42.65
59236,2022,0.0,269.0,9,0.0
59237,2022,0.0,946.0,2,0.0
59238,2022,7.0,1667.0,3,4.2
59239,2022,86.0,5677.0,6,15.15
59240,2022,0.0,127.0,12,0.0
59241,2022,0.0,508.0,6,0.0
59242,2022,0.0,691.0,5,0.0
59243,2022,7.0,1209.0,6,5.79
59244,2022,7.0,1759.0,2,3.98
59246,2022,0.0,558.0,6,0.0
59247,2022,50.0,1660.0,7,30.12
59249,2022,561.0,11528.0,12,48.66
59250,2022,11.0,2167.0,4,5.08
59251,2022,0.0,384.0,9,0.0
59252,2022,38.0,2617.0,5,14.52
59253,2022,238.0,7473.0,10,31.85
59254,2022,0.0,906.0,3,0.0
59255,2022,0.0,573.0,5,0.0
59256,2022,98.0,3221.0,8,30.43
59257,2022,0.0,1133.0,5,0.0
