code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59056,00056,Beaucamps-Ligny,2017,742,106,636,619,14.29,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,38.61,26.17,16.32,9.37,4.85,DROITE,CENTRE,DROITE,GAUCHE,DROITE,26.17,1.13,59.77,12.92,7.59,27237.0,70.4,17.5,15.0,844,867,DROITE,0,FILLON
59057,00057,Beaudignies,2017,430,49,381,370,11.4,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,32.7,18.38,17.84,15.14,6.49,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.84,2.97,57.57,21.62,4.08,20787.0,51.22,0.0,0.0,568,572,DROITE,0,LE PEN
59058,00058,Beaufort,2017,799,122,677,668,15.27,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.07,22.75,13.92,12.57,7.19,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.92,1.5,69.01,15.57,8.42,20893.0,50.59,0.0,0.0,1024,1037,DROITE,0,LE PEN
59059,00059,Beaumont-en-Cambrésis,2017,333,71,262,256,21.32,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,41.02,19.92,17.58,11.72,4.3,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.92,2.34,57.03,20.7,19.15,17835.0,56.64,0.0,0.0,452,459,DROITE,0,LE PEN
59060,00060,Beaurain,2017,176,33,143,140,18.75,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,50.0,12.86,12.86,10.0,5.71,DROITE,CENTRE,GAUCHE,DROITE,DROITE,12.86,3.57,65.71,17.86,4.35,19059.0,54.19,0.0,0.0,233,239,DROITE,0,LE PEN
59061,00061,Beaurepaire-sur-Sambre,2017,189,39,150,148,20.63,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,35.14,22.3,13.51,11.49,8.11,DROITE,DROITE,CENTRE,GAUCHE,DROITE,13.51,2.7,65.54,18.24,9.76,17676.0,59.6,0.0,0.0,275,277,DROITE,0,LE PEN
59062,00062,Beaurieux,2017,107,14,93,92,13.08,LE PEN,FILLON,MACRON,MÉLENCHON,LASSALLE,27.17,26.09,19.57,16.3,4.35,DROITE,DROITE,CENTRE,GAUCHE,DIVERS,19.57,4.35,56.52,19.57,16.67,22157.0,50.86,0.0,0.0,164,171,DROITE,0,LE PEN
59063,00063,Beauvois-en-Cambrésis,2017,1532,348,1184,1160,22.72,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,40.6,19.05,15.95,11.12,4.91,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.05,2.59,56.64,21.72,25.73,17952.0,52.44,12.99,27.0,1959,1976,DROITE,0,LE PEN
59064,00064,Bellaing,2017,963,168,795,767,17.45,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,28.42,22.56,17.47,16.43,6.39,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.47,2.09,51.24,29.2,17.48,19952.0,50.69,34.29,42.0,1329,1341,DROITE,0,LE PEN
59065,00065,Bellignies,2017,623,148,475,465,23.76,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,38.49,16.99,16.99,15.7,4.09,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,16.99,1.08,58.06,23.87,18.75,20711.0,51.45,0.0,0.0,809,827,DROITE,0,LE PEN
