code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur
59128,00128,Capinghem,2017,1556,262,1294,1266,16.84,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,29.15,24.88,17.54,17.06,5.37,DROITE,CENTRE,DROITE,GAUCHE,DROITE,24.88,1.5,52.05,21.56,DROITE
59129,00129,Cappelle-en-Pévèle,2017,1743,252,1491,1456,14.46,MACRON,LE PEN,FILLON,MÉLENCHON,DUPONT-AIGNAN,24.38,23.15,21.57,14.63,5.56,CENTRE,DROITE,DROITE,GAUCHE,DROITE,24.38,2.88,50.27,22.46,DROITE
59130,00130,Cappelle-Brouck,2017,946,172,774,751,18.18,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,36.35,17.58,16.25,15.71,5.86,DROITE,DROITE,GAUCHE,CENTRE,DROITE,15.71,2.53,59.79,21.97,DROITE
59131,00131,Cappelle-la-Grande,2017,6349,1301,5048,4876,20.49,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,41.53,21.29,14.03,7.42,5.84,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.03,1.42,54.8,29.76,DROITE
59132,00132,Carnières,2017,710,84,626,609,11.83,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,42.2,16.58,14.78,13.46,5.58,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.78,1.31,61.25,22.66,DROITE
59133,00133,Carnin,2017,769,95,674,649,12.35,LE PEN,MACRON,FILLON,MÉLENCHON,HAMON,25.12,23.57,18.64,16.49,7.86,DROITE,CENTRE,DROITE,GAUCHE,GAUCHE,23.57,1.39,49.61,25.42,DROITE
59134,00134,Cartignies,2017,841,139,702,687,16.53,LE PEN,FILLON,MACRON,DUPONT-AIGNAN,MÉLENCHON,35.95,23.44,13.97,11.35,9.75,DROITE,DROITE,CENTRE,DROITE,GAUCHE,13.97,2.04,70.74,13.25,DROITE
59135,00135,Cassel,2017,1763,323,1440,1405,18.32,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,25.05,22.42,20.07,17.58,5.41,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.07,2.06,52.88,24.98,DROITE
59136,00136,Le Cateau-Cambrésis,2017,4396,1117,3279,3189,25.41,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,39.48,17.84,15.62,15.4,4.74,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.62,1.29,59.61,23.49,DROITE
59137,00137,Catillon-sur-Sambre,2017,597,107,490,474,17.92,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,34.18,19.41,18.99,13.71,6.75,DROITE,DROITE,GAUCHE,CENTRE,DROITE,13.71,1.69,60.34,24.26,DROITE
