code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59392,00392,Maubeuge,2022,18354,6801,11553,11389,37.05,MÉLENCHON,LE PEN,MACRON,ZEMMOUR,PÉCRESSE,34.77,31.26,18.54,5.16,2.11,GAUCHE,DROITE,CENTRE,DROITE,DROITE,18.54,1.25,39.66,40.55,27.75,16320.0,56.69,65.69,1897.0,29066,29344,GAUCHE,1,MÉLENCHON
59396,00396,Mecquignies,2022,477,81,396,389,16.98,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,PÉCRESSE,41.13,22.37,11.31,8.48,5.66,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.37,2.57,57.84,17.22,5.63,24280.0,57.98,0.0,0.0,705,716,DROITE,0,LE PEN
59420,00420,Moustier-en-Fagne,2022,38,7,31,30,18.42,MÉLENCHON,MACRON,LE PEN,JADOT,PÉCRESSE,30.0,23.33,16.67,10.0,6.67,GAUCHE,CENTRE,DROITE,GAUCHE,DROITE,23.33,3.33,30.0,43.33,0.0,23030.0,67.35,0.0,0.0,60,62,GAUCHE,1,MÉLENCHON
59441,00441,Obies,2022,534,133,401,394,24.91,MACRON,LE PEN,MÉLENCHON,ZEMMOUR,PÉCRESSE,32.74,30.96,10.91,8.12,4.82,CENTRE,DROITE,GAUCHE,DROITE,DROITE,32.74,1.78,46.7,18.78,4.35,24980.0,52.78,0.0,0.0,649,655,CENTRE,1,MACRON
59442,00442,Obrechies,2022,245,46,199,196,18.78,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,41.84,26.53,10.71,6.63,3.06,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,26.53,2.55,53.06,17.86,0.0,26620.0,52.82,0.0,0.0,273,279,DROITE,0,LE PEN
59445,00445,Ohain,2022,918,281,637,622,30.61,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,LASSALLE,45.66,19.29,15.59,5.47,3.22,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,19.29,3.22,55.63,21.86,17.66,20620.0,53.01,0.0,0.0,1188,1206,DROITE,0,LE PEN
59483,00483,Quiévelon,2022,114,30,84,81,26.32,LE PEN,MACRON,ZEMMOUR,PÉCRESSE,MÉLENCHON,34.57,30.86,13.58,7.41,6.17,DROITE,CENTRE,DROITE,DROITE,GAUCHE,30.86,2.47,59.26,7.41,15.38,23170.0,51.96,0.0,0.0,137,139,DROITE,0,LE PEN
59493,00493,Ramousies,2022,176,41,135,127,23.3,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,45.67,25.2,12.6,6.3,3.94,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,25.2,1.57,55.12,18.11,5.26,20630.0,48.52,0.0,0.0,227,228,DROITE,0,LE PEN
59495,00495,Recquignies,2022,1720,637,1083,1064,37.03,LE PEN,MÉLENCHON,MACRON,ZEMMOUR,ROUSSEL,48.03,17.29,14.94,7.05,4.51,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.94,2.16,58.55,24.34,16.58,18560.0,48.22,12.61,30.0,2420,2436,DROITE,0,LE PEN
59514,00514,Rousies,2022,2789,646,2143,2107,23.16,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,39.91,20.65,15.9,8.31,3.37,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,20.65,1.99,53.39,23.97,14.74,21260.0,52.77,33.12,133.0,4043,4095,DROITE,0,LE PEN
59529,00529,Saint-Aubin,2022,252,59,193,188,23.41,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,LASSALLE,32.98,24.47,14.36,9.57,5.32,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,24.47,5.32,48.94,21.28,3.38,25130.0,53.7,0.0,0.0,347,355,DROITE,0,LE PEN
59534,00534,Saint-Hilaire-sur-Helpe,2022,558,126,432,420,22.58,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,JADOT,33.57,23.57,17.14,5.95,3.81,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,23.57,3.1,45.48,27.86,10.31,21320.0,54.87,0.0,0.0,800,823,DROITE,0,LE PEN
59548,00548,Saint-Waast,2022,505,97,408,396,19.21,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,LASSALLE,35.1,22.73,16.67,11.36,4.04,DROITE,CENTRE,GAUCHE,DROITE,DIVERS,22.73,4.04,51.01,22.22,5.84,24400.0,51.49,0.0,0.0,658,668,DROITE,0,LE PEN
