commune,candidat,pct_2022,target_2022,prediction,correct
Haussy,LE PEN,41.47,1,1,1
Haussy,MACRON,22.38,0,0,1
Haut-Lieu,LE PEN,37.23,1,1,1
Haut-Lieu,MACRON,24.24,0,0,1
Hautmont,LE PEN,43.11,1,1,1
Hautmont,MÉLENCHON,24.12,0,0,1
Hecq,LE PEN,36.41,1,1,1
Hecq,MACRON,23.5,0,0,1
Jenlain,MACRON,31.46,1,1,1
Jenlain,LE PEN,29.29,0,1,0
Jolimetz,MACRON,28.92,1,1,1
Jolimetz,LE PEN,28.74,0,1,0
Landrecies,LE PEN,41.15,1,1,1
Landrecies,MACRON,20.75,0,0,1
Larouillies,LE PEN,37.84,1,1,1
Larouillies,MACRON,30.41,0,1,0
Leval,LE PEN,40.25,1,1,1
Leval,MÉLENCHON,18.74,0,0,1
Limont-Fontaine,LE PEN,40.4,1,1,1
Limont-Fontaine,MACRON,22.6,0,0,1
Locquignol,LE PEN,38.3,1,1,1
Locquignol,MACRON,19.68,0,0,1
Louvignies-Quesnoy,LE PEN,33.83,1,1,1
Louvignies-Quesnoy,MACRON,25.75,0,0,1
Marbaix,LE PEN,36.13,1,1,1
Marbaix,MACRON,23.36,0,0,1
Maresches,MACRON,30.66,1,1,1
Maresches,LE PEN,26.76,0,1,0
Maroilles,LE PEN,40.07,1,1,1
Maroilles,MACRON,25.21,0,0,1
Monceau-Saint-Waast,LE PEN,37.1,1,1,1
Monceau-Saint-Waast,MACRON,30.32,0,1,0
Montrécourt,LE PEN,39.19,1,1,1
Montrécourt,MACRON,25.68,0,0,1
Neuf-Mesnil,LE PEN,46.47,1,1,1
Neuf-Mesnil,MÉLENCHON,19.62,0,0,1
Neuville-en-Avesnois,LE PEN,30.06,1,1,1
Neuville-en-Avesnois,MACRON,23.7,0,0,1
Noyelles-sur-Sambre,LE PEN,34.46,1,1,1
Noyelles-sur-Sambre,MACRON,27.12,0,0,1
Orsinval,MACRON,29.14,1,1,1
Orsinval,LE PEN,27.54,0,1,0
Petit-Fayt,LE PEN,42.27,1,1,1
Petit-Fayt,MACRON,19.07,0,0,1
Poix-du-Nord,LE PEN,50.44,1,1,1
Poix-du-Nord,MACRON,18.92,0,0,1
