commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Bousbecque,LE PEN,27.82,1.0,8.87,22338.0,56.28,27.52,4833.0,26.12,0.0,0
Bousbecque,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.84,1.0,1
Bousies,LE PEN,37.36,1.0,17.54,18234.0,54.39,3.46,1734.0,38.71,1.0,1
Bousies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51,0.0,0
Bousies,MÉLENCHON,18.49,0.0,17.54,18234.0,54.39,3.46,1734.0,0.0,0.0,0
Bousignies,FILLON,28.06,1.0,3.85,22838.0,58.22,0.0,327.0,0.0,0.0,0
Bousignies,LE PEN,23.98,0.0,3.85,22838.0,58.22,0.0,327.0,24.88,0.0,0
Bousignies,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1,1.0,1
Bousignies-sur-Roc,FILLON,23.73,0.0,12.25,21113.0,51.35,0.0,405.0,0.0,0.0,0
Bousignies-sur-Roc,LE PEN,40.11,1.0,12.25,21113.0,51.35,0.0,405.0,33.79,1.0,1
Bousignies-sur-Roc,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31,0.0,0
Boussières-en-Cambrésis,FILLON,21.86,0.0,19.67,19928.0,54.74,0.0,414.0,0.0,0.0,0
Boussières-en-Cambrésis,LE PEN,37.25,1.0,19.67,19928.0,54.74,0.0,414.0,36.4,1.0,1
Boussières-en-Cambrésis,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,0
Boussières-sur-Sambre,LE PEN,37.0,1.0,14.63,20774.0,47.58,0.0,523.0,40.5,1.0,1
Boussières-sur-Sambre,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.81,0.0,0
Boussières-sur-Sambre,MÉLENCHON,17.95,0.0,14.63,20774.0,47.58,0.0,523.0,0.0,0.0,0
Boussois,LE PEN,39.78,1.0,19.64,17350.0,49.83,23.42,3245.0,45.72,1.0,1
Boussois,MÉLENCHON,26.25,0.0,19.64,17350.0,49.83,23.42,3245.0,19.69,0.0,0
Bouvignies,LE PEN,25.38,1.0,7.59,24540.0,60.83,7.14,1540.0,25.92,0.0,0
Bouvignies,MACRON,21.51,0.0,7.59,24540.0,60.83,7.14,1540.0,31.56,1.0,1
Bouvines,FILLON,26.1,0.0,5.2,27396.0,67.51,0.0,691.0,0.0,0.0,0
Bouvines,MACRON,31.67,1.0,5.2,27396.0,67.51,0.0,691.0,45.38,1.0,1
Bouvines,MÉLENCHON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.68,0.0,0
Boëseghem,LE PEN,32.87,1.0,9.92,19350.0,53.66,0.0,747.0,37.85,1.0,1
Boëseghem,MACRON,21.26,0.0,9.92,19350.0,53.66,0.0,747.0,28.6,0.0,0
Bray-Dunes,FILLON,19.0,0.0,19.63,20070.0,53.04,44.04,4541.0,0.0,0.0,0
Bray-Dunes,LE PEN,34.27,1.0,19.63,20070.0,53.04,44.04,4541.0,35.95,1.0,1
