code_commune,libelle_commune,code_region,code_departement,code_arrondissement,code_canton,population_municipale,population_comptee_a_part,population_totale,annee
59434,Nivelle,31,59,6,56,1284,19,1303,2011
59435,Nomain,31,59,3,47,2467,40,2507,2011
59436,Noordpeene,31,59,4,16,786,12,798,2011
59437,Noyelles-lès-Seclin,31,59,5,78,871,17,888,2011
59438,Noyelles-sur-Escaut,31,59,2,43,765,17,782,2011
59439,Noyelles-sur-Sambre,31,59,1,10,308,7,315,2011
59440,Noyelles-sur-Selle,31,59,6,11,762,11,773,2011
59441,Obies,31,59,1,8,707,9,716,2011
59442,Obrechies,31,59,1,45,261,10,271,2011
59443,Ochtezeele,31,59,4,16,354,4,358,2011
59444,Odomez,31,59,6,19,916,10,926,2011
59445,Ohain,31,59,1,64,1304,21,1325,2011
59446,Oisy,31,59,6,67,583,8,591,2011
59447,Onnaing,31,59,6,65,8720,58,8778,2011
59448,Oost-Cappel,31,59,4,31,522,4,526,2011
59449,Orchies,31,59,3,47,8184,184,8368,2011
59450,Ors,31,59,2,17,657,16,673,2011
59451,Orsinval,31,59,1,50,543,8,551,2011
59452,Ostricourt,31,59,5,48,5244,44,5288,2011
59453,Oudezeele,31,59,4,60,665,12,677,2011
59454,Oxelaëre,31,59,4,16,524,11,535,2011
59455,Paillencourt,31,59,2,14,996,14,1010,2011
59456,Pecquencourt,31,59,3,42,6072,245,6317,2011
59457,Pérenchies,31,59,5,51,8196,58,8254,2011
59458,Péronne-en-Mélantois,31,59,5,20,872,10,882,2011
59461,Petit-Fayt,31,59,1,4,296,8,304,2011
59459,Petite-Forêt,31,59,6,66,4975,58,5033,2011
59462,Phalempin,31,59,5,48,4446,74,4520,2011
59463,Pitgam,31,59,4,9,930,25,955,2011
59464,Poix-du-Nord,31,59,1,49,2144,17,2161,2011
59465,Pommereuil,31,59,2,17,768,1,769,2011
59466,Pont-à-Marcq,31,59,5,48,2701,107,2808,2011
59467,Pont-sur-Sambre,31,59,1,10,2536,42,2578,2011
59468,Potelle,31,59,1,49,360,4,364,2011
59469,Pradelles,31,59,4,30,370,4,374,2011
59470,Prémesques,31,59,5,2,2193,16,2209,2011
59471,Préseau,31,59,6,65,1846,36,1882,2011
59472,Preux-au-Bois,31,59,1,32,835,4,839,2011
