code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59602,602,Tressin,1395,1434,2021
59603,603,Trith-Saint-Léger,6124,6210,2021
59604,604,Troisvilles,809,817,2021
59605,605,Uxem,1497,1525,2021
59606,606,Valenciennes,42991,43467,2021
59607,607,Vendegies-au-Bois,484,489,2021
59608,608,Vendegies-sur-Écaillon,1118,1140,2021
59609,609,Vendeville,1546,1568,2021
59610,610,Verchain-Maugré,1102,1111,2021
59611,611,Verlinghem,2673,2732,2021
59612,612,Vertain,513,522,2021
59613,613,Vicq,1473,1487,2021
59614,614,Viesly,1379,1396,2021
59615,615,Vieux-Berquin,2649,2693,2021
59616,616,Vieux-Condé,10446,10504,2021
59617,617,Vieux-Mesnil,637,644,2021
59618,618,Vieux-Reng,907,913,2021
59009,009,Villeneuve-d'Ascq,62067,62700,2021
59619,619,Villereau,1057,1072,2021
59620,620,Villers-au-Tertre,667,676,2021
59622,622,Villers-en-Cauchies,1161,1177,2021
59623,623,Villers-Guislain,680,684,2021
59624,624,Villers-Outréaux,2156,2179,2021
59625,625,Villers-Plouich,389,394,2021
59626,626,Villers-Pol,1262,1284,2021
59627,627,Villers-Sire-Nicole,1006,1016,2021
59628,628,Volckerinckhove,560,565,2021
59629,629,Vred,1311,1334,2021
59630,630,Wahagnies,2605,2655,2021
59631,631,Walincourt-Selvigny,2112,2132,2021
59632,632,Wallers,5598,5634,2021
59633,633,Wallers-en-Fagne,280,287,2021
59634,634,Wallon-Cappel,788,807,2021
59635,635,Wambaix,368,374,2021
59636,636,Wambrechies,10798,10912,2021
59637,637,Wandignies-Hamage,1318,1336,2021
59638,638,Wannehain,1331,1344,2021
59639,639,Wargnies-le-Grand,1101,1124,2021
59640,640,Wargnies-le-Petit,780,791,2021
59641,641,Warhem,2022,2059,2021
59642,642,Warlaing,594,607,2021
59643,643,Warneton,234,239,2021
59645,645,Wasnes-au-Bac,587,591,2021
59646,646,Wasquehal,20836,21062,2021
59647,647,Watten,2577,2599,2021
59648,648,Wattignies,15531,15735,2021
59649,649,Wattignies-la-Victoire,241,246,2021
59650,650,Wattrelos,40836,41024,2021
59651,651,Wavrechain-sous-Denain,1616,1627,2021
59652,652,Wavrechain-sous-Faulx,424,425,2021
